20130624 19339258.270000 -0.429824 0.925642 215.712343
20130623 19339258.270000 -0.426968 1.023849 228.101587
20130622 19339258.270000 -0.426821 1.028920 228.741284
20130621 19339258.270000 -0.426182 1.050894 231.513400
20130620 19339258.270000 -0.425302 1.081151 235.330389
20130619 19339258.270000 -0.426796 1.029782 228.850036
20130618 19339258.270000 -0.427238 1.014552 226.928705
20130617 19339258.270000 -0.429892 0.923275 215.413807
20130616 19339258.270000 -0.430900 0.888624 211.042395
20130615 15605632.680000 -0.419214 1.290530 261.744402
20130614 15605632.680000 -0.419092 1.294719 262.272916
20130613 15605632.680000 -0.416687 1.377440 272.708421
20130612 15605632.680000 -0.413747 1.478550 285.463891
20130611 15605632.680000 -0.413610 1.483244 286.056038
20130610 15605632.680000 -0.415224 1.427734 279.053256
20130609 15605632.680000 -0.418826 1.303882 263.428855
20130608 15605632.680000 -0.414285 1.460044 283.129181
20130607 15605632.680000 -0.412392 1.525139 291.341176
20130606 15605632.680000 -0.407538 1.692086 312.402188
20130605 15605632.680000 -0.405753 1.753463 320.145207
20130604 12153411.700000 -0.385054 2.465334 409.950448
20130603 12153411.700000 -0.385573 2.447506 407.701401
20130602 12153411.700000 -0.384194 2.494922 413.683071
20130601 12153411.700000 -0.378876 2.677824 436.756835
20130531 12153411.700000 -0.379255 2.664780 435.111302
20130530 12153411.700000 -0.379267 2.664348 435.056875
20130529 12153411.700000 -0.376568 2.757171 446.766776
20130528 12153411.700000 -0.379110 2.669753 435.738739
20130527 12153411.700000 -0.378508 2.690465 438.351605
20130526 12153411.700000 -0.375591 2.790792 451.008277
20130525 12153411.700000 -0.376775 2.750070 445.870971
20130524 11187257.460000 -0.366914 3.089212 488.655111
20130523 11187257.460000 -0.372691 2.890515 463.588650
20130522 11187257.460000 -0.374815 2.817464 454.373039
20130521 11187257.460000 -0.375588 2.790874 451.018594
20130520 11187257.460000 -0.376328 2.765452 447.811525
20130519 11187257.460000 -0.375920 2.779478 449.580922
20130518 11187257.460000 -0.375316 2.800254 452.201842
20130517 11187257.460000 -0.375070 2.808697 453.267056
20130516 11187257.460000 -0.379565 2.654123 433.766934
