20130130 20.314000 1.285532
20130131 20.314000 1.475418
20130201 18.937000 1.618434
20130202 18.937000 1.519694
20130203 18.937000 1.580112
20130204 20.543000 1.434141
20130205 20.543000 1.454509
20130206 20.543000 1.459601
20130207 20.543000 1.538846
20130208 20.532000 1.651866
20130209 20.532000 1.747712
20130210 20.532000 1.750577
20130211 20.794000 1.753026
20130212 20.794000 1.473199
20130213 20.794000 1.533252
20130214 20.794000 1.589217
20130215 20.794000 1.595820
20130216 15.973000 2.268995
20130217 15.973000 2.260809
20130218 15.973000 2.230520
20130219 18.676000 1.736248
20130220 18.676000 1.512204
20130221 18.676000 1.548261
20130222 18.676000 1.562264
20130223 16.503000 1.953336
20130224 16.503000 1.910154
20130225 16.503000 1.831317
20130226 15.819000 1.922775
20130227 15.819000 1.944267
20130228 15.819000 2.149673
20130301 15.819000 2.341441
20130302 17.603000 2.126690
20130303 17.603000 3.091978
20130304 25.273000 2.582637
20130305 25.273000 3.934036
20130306 35.225000 2.651483
20130307 35.225000 3.004872
20130308 35.225000 3.097303
20130309 35.225000 3.365129
20130310 38.893000 4.790141
20130311 38.893000 6.479034
20130312 54.192000 7.029730
20130313 54.192000 7.175949
20130314 84.225000 4.088917
20130315 84.225000 4.175701
20130316 84.225000 3.779741
20130317 96.153000 2.985939
20130318 96.153000 2.737147
20130319 96.153000 2.633795
20130320 96.153000 2.804190
20130321 96.153000 2.112073
20130322 68.595000 3.846430
20130323 68.595000 3.994258
20130324 68.595000 4.823372
20130325 78.310000 3.708227
20130326 78.310000 3.900331
20130327 78.310000 3.803986
20130328 96.197000 3.821518
20130329 96.197000 3.875889
20130330 96.197000 4.548999
20130331 96.197000 4.834174
20130401 100.545000 10.969493
20130402 100.545000 19.589005
20130403 153.170000 17.882719
20130404 153.170000 16.273111
20130405 153.170000 14.395449
20130406 205.779000 8.731353
20130407 205.779000 11.231793
20130408 205.779000 12.793388
20130409 234.452000 12.696733
20130410 234.452000 8.179176
20130411 293.364000 2.759060
20130412 293.364000 4.548619
20130413 293.364000 4.013980
20130414 293.364000 4.214330
20130415 323.279000 3.982896
20130416 323.279000 2.999823
20130417 323.279000 3.467394
20130418 364.365000 3.375748
20130419 364.365000 3.776349
20130420 364.365000 3.835095
20130421 374.951000 3.559159
20130422 374.951000 3.716089
20130423 374.951000 4.116922
20130424 404.826000 4.266212
20130425 404.826000 5.320798
20130426 404.826000 5.461302
20130427 404.826000 5.742471
20130428 437.944000 5.268500
20130429 437.944000 5.307284
20130430 437.944000 5.342994
20130501 482.519000 4.318860
20130502 482.519000 3.820375
20130503 482.519000 3.290590
20130504 482.519000 3.861023
20130505 396.558000 5.073343
20130506 396.558000 4.701571
20130507 396.558000 4.601003
20130508 469.805000 3.778419
20130509 469.805000 3.749056
20130510 469.805000 3.799307
20130511 596.896000 2.768532
20130512 596.896000 2.694161
20130513 596.896000 2.640742
20130514 605.526000 2.039512
20130515 605.526000 2.124592
20130516 605.526000 2.076654
20130517 605.526000 2.313756
20130518 593.055000 2.573357
20130519 593.055000 2.563446
20130520 593.055000 2.463127
20130521 558.130000 2.641629
20130522 558.130000 2.640961
20130523 558.130000 2.720030
20130524 558.130000 2.762821
20130525 595.662000 2.502627
20130526 595.662000 2.641065
20130527 595.662000 2.517982
20130528 602.347000 2.467059
